Resort name,Country,Highest point,Lowest point,Child friendly,Ski pass price adult,Season,Ski map,User rating
Kirchdorf,Austria,780,640,Yes,30,December - March,Ski map,
Kicking Horse,France,1.608,1.5,Yes,39,December - April,Ski map,
Kellerjoch-Schwaz,Austria,857,545,Yes,29,depending on snow conditions - April,Ski map,
Kaunertal Glacier (Kaunertaler Gletscher),Austria,3.108,2.18,Yes,43,September - June,Ski map,
Katschberg,Austria,2.22,1.066,Yes,46,November - April,Ski map,
Kanin-Sella Nevea-​Bovec,Slovenia,1.103,460,Yes,35,December - April,Ski map,
Kaltenbach-Hochzillertal-​Hochfügen-SKi-optimal-,Austria,2.378,600,Yes,52,November - April,Ski map,
Kaiseregg-​Riggisalp-Schwarzsee,Switzerland,1.75,1.05,Yes,34,December - March,Ski map,
Jochgrimm-Passo Oclini-,Italy,2.25,1.85,Yes,17,December - April,Ski map,
Jasná Nízke Tatry-Chopok,Slovakia,2.004,943,Yes,39,December - May,Ski map,
Jakobshorn (Davos Klosters),Switzerland,2.59,1.54,Yes,58,December - April,Ski map,
Jahorina,Bosnia and Herzegovina,1.889,920,Yes,20,depending on snow conditions - depending on snow conditions,Ski map,
Isola 2000,France,2.603,1.8,Yes,34,December - April,Ski map,
Ischgl,Austria,2.872,1.377,Yes,52,November - May,Ski map,
Indoor ski area SnowWorld Landgraaf,Netherlands,210,150,Yes,42,Year-round,Ski map,
Indoor ski area Snow Dome Bispingen,Germany,122,90,Yes,37,Year-round,Ski map,
Indoor ski area Snow Arena-Druskininkai,Lithuania,163,97,Yes,29,Year-round,Ski map,
Indoor ski area Skidome Denmark – Randers (planned),Denmark,120,10,Yes,0,no report,Ski map,
Idre Fjäll,Sweden,890,588,Yes,40,October - April,Ski map,
Hochschwarzeck,Germany,1.385,1.03,Yes,22,December - April,Ski map,
Hochrindl-Sirnitz,Austria,1.886,1.54,Yes,32,December - March,Ski map,
Hochoetz-Oetz,Austria,1.41,820,Yes,37,December - April,Ski map,
Hochkönig-Maria Alm/​Dienten/​Mühlbach,Austria,1.9,800,Yes,52,December - April,Ski map,
Hoch-Ybrig-Unteriberg-​Oberiberg,Switzerland,1.85,1.035,Yes,46,December - April,Ski map,
Hoch Hylkedal – Kolding,Denmark,45,20,Yes,15,no report,Ski map,
Hirmentaz-​Les Habères-Bellevaux-​Habère-Poche,France,1.61,923,Yes,24,December - March,Ski map,
Hintertux Glacier,Austria,3.25,1.5,Yes,52,Year-round,Ski map,
Hinterstoder-Höss,Austria,2,600,Yes,44,December - April,Ski map,
Hemsedal,Norway,1.45,620,Yes,46,November - May,Ski map,
Heiti - Gsteig (Gstaad),Switzerland,1.37,1.227,Yes,54,no report,Ski map,
Hedelands Skicenter,Denmark,78,33,Yes,17,December - March,Ski map,
Hafjell,Norway,1.03,195,Yes,45,November - April,Ski map,
Guzet,France,2.1,1.1,Yes,31,December - March,Ski map,
Grüntenlifte-Kranzegg-Rettenberg-,Germany,1.7,900,Yes,31,December - April,Ski map,
Großglockner Resort Kals-Matrei,Austria,2.422,933,Yes,47,December - April,Ski map,
Grossglockner Heiligenblut,Austria,2.989,1.301,Yes,44,December - April,Ski map,
Grosseck-​Speiereck-Mauterndorf-​St. Michael,Austria,2.4,1.095,Yes,41,December - April,Ski map,
Grossarltal-​Dorfgastein,Austria,2.033,850,Yes,50,December - April,Ski map,
Grimentz-​Zinal,Switzerland,2.9,1.57,Yes,51,December - April,Ski map,
Gressoney - La-Trinite (Monterosa Ski),Italy,3.275,1.212,Yes,43,December - April,Ski map,
Gresse en Vercors,France,1.751,1.245,Yes,19,December - March,Ski map,
Grebenzen-St. Lambrecht,Austria,1.87,1.01,Yes,34,December - March,Ski map,
Grächen,Switzerland,2.864,1.619,Yes,48,December - April,Ski map,
Graukogel-Bad Gastein,Austria,2.007,1.079,Yes,36,December - March,Ski map,
Grasgehren-Bolgengrat,Germany,1.7,1.4,Yes,25,November - April,Ski map,
Grandvalira – Pas de la Casa/​Grau Roig/​Soldeu/​El Tarter/​Canillo/​Encamp,Andorra,2.64,1.71,Yes,47,November - April,Ski map,
Grands Montets-Argentière (Chamonix),France,3.275,1.252,Yes,62,December - May,Ski map,
Grand Tourmalet-​Pic du Midi-La Mongie-​Barèges,France,2.5,1.25,Yes,42,November - April,Ski map,
Götschen-Bischofswiesen,Germany,1.307,880,Yes,25,December - April,Ski map,
Gourette-Eaux Bonnes-,France,2.45,1.35,Yes,38,December - April,Ski map,
Gornaya Karusel,Southern Russia,960,540,Yes,22,December - April,Ski map,
Golm,Austria,2.11,650,Yes,48,December - April,Ski map,
Glungezer-Tulfes,Austria,2.304,950,Yes,30,December - April,Ski map,
Glenshee,United Kingdom,900,650,Yes,33,December - April,Ski map,
Glencoe Mountain,United Kingdom,1.07,360,Yes,35,December - April,Ski map,
Glacier 3000 / Les Diablerets,Switzerland,3.016,1.343,Yes,54,October - May,Ski map,
Gitschberg Jochtal,Italy,1.354,772,Yes,46,December - April,Ski map,
Gerlitzen,Austria,1,520,Yes,45,December - April,Ski map,
Geißkopf-Bischofsmais,Germany,1.116,835,Yes,24,December - March,Ski map,
Geilosiden Geilo,Norway,1.178,800,Yes,44,November - April,Ski map,
Gålå,Norway,1.148,800,Yes,43,November - April,Ski map,
Gazprom Mountain Resort-Laura-– Esto-Sadok-Sotschi-,Southern Russia,949,547,Yes,32,December - April,Ski map,
Garmisch-Classic-Garmisch-Partenkirchen,Germany,2.05,732,Yes,43,December - April,Ski map,
Gargellen,Austria,2.3,1.423,Yes,47,December - April,Ski map,
Galtür,Austria,2.3,1.6,Yes,40,December - April,Ski map,
Galibier Thabor-Valmeinier-​Valloire,France,2.594,1.43,Yes,39,December - April,Ski map,
Gaissau-Hintersee,Austria,1.567,750,Yes,35,depending on snow conditions - March,Ski map,
Formigal,Spain,2.251,1.501,Yes,44,November - April,Ski map,
Font-Romeu-​Bolquère Pyrénées 2000,France,2.213,1.65,Yes,38,December - April,Ski map,
Fonna Glacier,Norway,1.46,1.2,Yes,42,May - September,Ski map,
Folgaria-​Fiorentini,Italy,1.85,1.2,Yes,40,December - April,Ski map,
Flumserberg,Switzerland,665,425,Yes,51,November - April,Ski map,
Flachau (Ski amedé),Austria,1.98,740,Yes,52,November - April,Ski map,
First-Grindelwald,Switzerland,2.501,1.05,Yes,55,December - March,Ski map,
Fieberbrunn - Saalbach Hinterglemm Leogang (Skicircus),Austria,2.096,830,Yes,53,November - April,Ski map,
Fichtelberg-Oberwiesenthal,Germany,1.215,911,Yes,26,December - April,Ski map,
